ticker,sector,industry,marketCap,sharesOutstanding,message
TRC,Industrials,Conglomerates,386994272.0,26236900.0,
VAC,Consumer Cyclical,Resorts & Casinos,5367949312.0,41062800.0,
INAP,,,,,'regularMarketOpen'
HIW,Real Estate,REIT—Office,4082545408.0,103908000.0,
DGSE,,,,,'regularMarketOpen'
STI,,,,,'sector'
AIR,Industrials,Aerospace & Defense,1200933248.0,35300800.0,
DLPH,,,,,'sector'
EVR,Financial Services,Capital Markets,4105843456.0,40590800.0,
BIOA,,,,,'regularMarketOpen'
ISH,,,,,'regularMarketOpen'
SFE,Financial Services,Asset Management,146669568.0,20893100.0,
AWK,Utilities,Utilities—Regulated Water,26879012864.0,181272000.0,
FANG,Energy,Oil & Gas E&P,7916026880.0,157972992.0,
CTRL,,,,,'regularMarketOpen'
MSB,Basic Materials,Steel,357782400.0,13120000.0,
EXAC,,,,,'regularMarketOpen'
KWR,Basic Materials,Specialty Chemicals,4509611520.0,17831600.0,
BCC,Basic Materials,Lumber & Wood Production,1790318720.0,39201200.0,
CLR,Energy,Oil & Gas E&P,6895617536.0,365233984.0,
MDU,Basic Materials,Building Materials,4968935424.0,200522000.0,
LNKD,,,,,'regularMarketOpen'
TRCB,,,,,'regularMarketOpen'
SSTK,Communication Services,Internet Content & Information,2447930112.0,36222700.0,
CVCY,Financial Services,Banks—Regional,193867808.0,12507600.0,
UTI,Consumer Defensive,Education & Training Services,199475616.0,32647400.0,
BTN,Consumer Cyclical,Leisure,29580800.0,14790400.0,
MATW,Industrials,Conglomerates,879037696.0,31791600.0,
ADB,,,,,'regularMarketOpen'
ELLI,,,,,'regularMarketOpen'
IIIN,Industrials,Metal Fabrication,454646880.0,19260700.0,
ONB,Financial Services,Banks—Regional,2721380864.0,165332992.0,
BBRG,,,,,'regularMarketOpen'
UG,Consumer Defensive,Household & Personal Products,66387924.0,4594320.0,
ININ,,,,,'regularMarketOpen'
IIVI,Technology,Scientific & Technical Instruments,7269118464.0,103726000.0,
SFLY,,,,,'regularMarketOpen'
EVBN,Financial Services,Banks—Regional,151725072.0,5384140.0,
METH,,,,,'regularMarketOpen'
USCR,Basic Materials,Building Materials,594655488.0,16675700.0,
UTX,,,,,'regularMarketOpen'
VRSN,Technology,Software—Infrastructure,23961960448.0,114110000.0,
UTHR,Healthcare,Biotechnology,6163897344.0,44440500.0,
WDPT,,,,,'regularMarketOpen'
CCE,,,,,'regularMarketOpen'
SLH,,,,,'regularMarketOpen'
OMED,,,,,'sector'
KOSS,Technology,Consumer Electronics,17623496.0,7404830.0,
RLD,,,,,'regularMarketOpen'
HSII,Industrials,Staffing & Employment Services,540520064.0,19359600.0,
PLOW,Consumer Cyclical,Auto Parts,972358080.0,22857500.0,
RSE,,,,,'regularMarketOpen'
CLBH,,,,,'regularMarketOpen'
HNT,,,,,'regularMarketOpen'
PHH,,,,,'regularMarketOpen'
ICCC,Healthcare,Biotechnology,44720104.0,7212920.0,
BRKL,Financial Services,Banks—Regional,932908032.0,79060000.0,
COMM,Technology,Communication Equipment,2620127488.0,198644992.0,
GLDD,Industrials,Engineering & Construction,752358400.0,64970500.0,
RH,Consumer Cyclical,Specialty Retail,8749752320.0,19514200.0,
FDEF,,,,,"BeautifulSoup4 (bs4) not found, please install it"
CWH,Consumer Cyclical,Recreational Vehicles,2525122304.0,42757300.0,
KOOL,,,,,'regularMarketOpen'
POWR,,,,,'regularMarketOpen'
WBB,,,,,'regularMarketOpen'
RARE,Healthcare,Biotechnology,9588621312.0,66155800.0,
CBF,,,,,'regularMarketOpen'
STJ,,,,,'regularMarketOpen'
FFKT,,,,,'regularMarketOpen'
BBSI,Industrials,Staffing & Employment Services,536312896.0,7646320.0,
STAN,,,,,'regularMarketOpen'
PCO,,,,,'regularMarketOpen'
CRUS,Technology,Semiconductors,4520682496.0,57964900.0,
KSU,Industrials,Railroads,18399266816.0,93601600.0,
MMLP,Energy,Oil & Gas Midstream,69157448.0,38852500.0,
NCS,,,,,'regularMarketOpen'
YDKN,,,,,'regularMarketOpen'
MBVT,,,,,'regularMarketOpen'
RCII,Industrials,Rental & Leasing Services,1849380864.0,54170500.0,
WCC,Industrials,Industrial Distribution,3726186752.0,50042800.0,
CELG,,,,,'regularMarketOpen'
BIIB,Healthcare,Drug Manufacturers—General,37151731712.0,153882000.0,
SNMX,,,,,'regularMarketOpen'
LPTH,Technology,Electronic Components,83271072.0,26109200.0,
ECOM,Technology,Software—Application,411222848.0,29000200.0,
GPIC,,,,,'regularMarketOpen'
EV,Financial Services,Asset Management,7440352256.0,114173000.0,
SPH,Utilities,Utilities—Regulated Gas,967612992.0,62146400.0,
EXBD,,,,,'regularMarketOpen'
EGAN,Technology,Software—Application,348570976.0,30929100.0,
KLAC,Technology,Semiconductor Equipment & Materials,39793528832.0,155111008.0,
CVO,,,,,'regularMarketOpen'
GMAN,,,,,'sector'
KPTI,Healthcare,Biotechnology,1130508288.0,73600800.0,
CALD,,,,,'regularMarketOpen'
TWMC,,,,,"BeautifulSoup4 (bs4) not found, please install it"
CPRT,Industrials,Specialty Business Services,27622838272.0,236132992.0,
CBG,,,,,'regularMarketOpen'
SONS,,,,,'regularMarketOpen'
ADES,Industrials,Pollution & Treatment Controls,102940848.0,18547900.0,
EVBS,,,,,'regularMarketOpen'
MPAQ,,,,,'regularMarketOpen'
ENMD,,,,,'regularMarketOpen'
IRBT,Technology,Consumer Electronics,2090420864.0,28127300.0,
FINL,,,,,'regularMarketOpen'
MET,Financial Services,Insurance—Life,42468593664.0,899948992.0,
MTEX,Consumer Defensive,Household & Personal Products,40189956.0,2087790.0,
HA,Industrials,Airlines,885113088.0,46003800.0,
TWTR,Communication Services,Internet Content & Information,40912801792.0,795350016.0,
DSKX,,,,,'regularMarketOpen'
FONR,Healthcare,Medical Devices,124927088.0,6447460.0,
ENH,,,,,'regularMarketOpen'
FFBH,,,,,'regularMarketOpen'
DPS,,,,,'regularMarketOpen'
SIGA,Healthcare,Biotechnology,538700544.0,77399504.0,
SBH,Consumer Cyclical,Specialty Retail,1318854016.0,112852000.0,
EXAS,Healthcare,Diagnostics & Research,19479908352.0,150424000.0,
SPW,,,,,'regularMarketOpen'
ELON,,,,,'regularMarketOpen'
TACT,Technology,Computer Hardware,79467032.0,8928880.0,
VSCP,,,,,'regularMarketOpen'
PHX,Energy,Oil & Gas E&P,51047376.0,22317100.0,
WSFS,Financial Services,Banks—Regional,2122445056.0,50402400.0,
VVIN,,,,,'regularMarketOpen'
RHP,Real Estate,REIT—Hotel & Motel,3627666432.0,54981300.0,
LIVE,Consumer Cyclical,Specialty Retail,18643240.0,1603030.0,
ZNGA,Communication Services,Electronic Gaming & Multimedia,9376509952.0,1079000064.0,
ROL,Consumer Cyclical,Personal Services,18027851776.0,491624000.0,
LTBR,Industrials,Electrical Equipment & Parts,19951950.0,5631560.0,
AFAM,,,,,'regularMarketOpen'
LDR,,,,,'regularMarketOpen'
MJN,,,,,'regularMarketOpen'
NBS,,,,,'regularMarketOpen'
SQNM,,,,,'regularMarketOpen'
SYX,Industrials,Industrial Distribution,1363682048.0,37412400.0,
NURO,Healthcare,Medical Instruments & Supplies,8742564.0,3784660.0,
